Case ID;CSAT Rated Group Name;Group Name History;RESOLUTION GROUPS;RESOLUTION GROUPS BUCKETS;RESOLUTION TIME (Days);RESOLVED IN SLA;ISSUE CLASSIFICATION;FIRST TOUCH RESOLUTION;CSAT Rating Received;CLASSIFICATION;Start of Month
5008W000011Di3FQAS;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Link :: General Capabilities;1;5;PROMOTER;1/2/2023 00:00
5008W000011Dn0pQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Account General :: Third Party Integrations;1;4;PROMOTER;1/2/2023 00:00
5008W000011DSl4QAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Connect Accounts :: Other;1;1;DETRACTOR;1/2/2023 00:00
5008W000011Dwo9QAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payments :: Availability;1;5;PROMOTER;1/2/2023 00:00
5008W000011DxfJQAS;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payments :: Availability;0;1;DETRACTOR;1/2/2023 00:00
5008W000011EbOJQA0;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payments :: Authorization and/or Capture;1;5;PROMOTER;1/2/2023 00:00
5008W000011ECtSQAW;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payouts :: Payout Status;0;4;PROMOTER;1/2/2023 00:00
5008W000011EkrnQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Account Onboarding :: Entity and Identity Data;0;1;DETRACTOR;1/2/2023 00:00
5008W000011Eln3QAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Account Onboarding :: Entity and Identity Data;0;2;DETRACTOR;1/2/2023 00:00
5008W000011EsaJQAS;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,7;1;Payouts :: Other;1;4;PROMOTER;1/2/2023 00:00
5008W000011EWx4QAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payments :: Other;1;5;PROMOTER;1/2/2023 00:00
5008W000011F3wYQAS;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Other :: Other;1;2;DETRACTOR;1/2/2023 00:00
5008W000012428BQAQ;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payments :: Other;0;5;PROMOTER;1/2/2023 00:00
5008W0000124ailQAA;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Financial Reports :: Payment Fee Reports;1;5;PROMOTER;1/2/2023 00:00
